SectorCode,Sector,Region,regioncode,kpi,year,value
A,"Agriculture, forestry and fishing",Al Bahah,ABA,GDP,2015,0.0
B,Mining and quarrying,Al Bahah,ABA,GDP,2015,0.0
C,Manufacturing,Al Bahah,ABA,GDP,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Bahah,ABA,GDP,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Bahah,ABA,GDP,2015,0.0
F,Construction,Al Bahah,ABA,GDP,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Bahah,ABA,GDP,2015,0.0
H,Transportation and storage,Al Bahah,ABA,GDP,2015,0.0
I,Accommodation and food service activities,Al Bahah,ABA,GDP,2015,0.0
J,Information and communication,Al Bahah,ABA,GDP,2015,0.0
K,Financial and insurance activities,Al Bahah,ABA,GDP,2015,0.0
L,Real estate activities,Al Bahah,ABA,GDP,2015,0.0
M,"Professional, scientific and technical activities",Al Bahah,ABA,GDP,2015,0.0
N,Administrative and support service activities,Al Bahah,ABA,GDP,2015,0.0
O,Public administration and defense; compulsory social security,Al Bahah,ABA,GDP,2015,0.0
P,Education,Al Bahah,ABA,GDP,2015,0.0
Q,Human health and social work activities,Al Bahah,ABA,GDP,2015,0.0
R,"Arts, entertainment and recreation",Al Bahah,ABA,GDP,2015,0.0
S,Other service activities,Al Bahah,ABA,GDP,2015,0.0
T,Activities of households,Al Bahah,ABA,GDP,2015,0.0
A,"Agriculture, Forestry and Fishing",Al Bahah,ABA,Productivity,2015,0.0
B,Mining and quarrying,Al Bahah,ABA,Productivity,2015,0.0
C,Manufacturing,Al Bahah,ABA,Productivity,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Bahah,ABA,Productivity,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Bahah,ABA,Productivity,2015,0.0
F,Construction,Al Bahah,ABA,Productivity,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Bahah,ABA,Productivity,2015,0.0
H,Transportation and storage,Al Bahah,ABA,Productivity,2015,0.0
I,Accommodation and food service activities,Al Bahah,ABA,Productivity,2015,0.0
J,Information and Communication,Al Bahah,ABA,Productivity,2015,0.0
K,Financial and insurance activities,Al Bahah,ABA,Productivity,2015,0.0
L,Real estate activities,Al Bahah,ABA,Productivity,2015,0.0
M,"Professional, scientific and technical activities",Al Bahah,ABA,Productivity,2015,0.0
N,Administrative and support service activities,Al Bahah,ABA,Productivity,2015,0.0
O,Public administration and defense; compulsory social security,Al Bahah,ABA,Productivity,2015,0.0
P,Education,Al Bahah,ABA,Productivity,2015,0.0
Q,Human health and social work activities,Al Bahah,ABA,Productivity,2015,0.0
R,"Arts, entertainment and recreation",Al Bahah,ABA,Productivity,2015,0.0
S,Other service activities,Al Bahah,ABA,Productivity,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Bahah,ABA,Productivity,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Bahah,ABA,Productivity,2015,0.0
V,Undefined,Al Bahah,ABA,Productivity,2015,0.0
A,"Agriculture, Forestry and Fishing",Al Bahah,ABA,Workforce,2015,0.0
B,Mining and quarrying,Al Bahah,ABA,Workforce,2015,0.0
C,Manufacturing,Al Bahah,ABA,Workforce,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Bahah,ABA,Workforce,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Bahah,ABA,Workforce,2015,0.0
F,Construction,Al Bahah,ABA,Workforce,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Bahah,ABA,Workforce,2015,0.0
H,Transportation and storage,Al Bahah,ABA,Workforce,2015,0.0
I,Accommodation and food service activities,Al Bahah,ABA,Workforce,2015,0.0
J,Information and Communication,Al Bahah,ABA,Workforce,2015,0.0
K,Financial and insurance activities,Al Bahah,ABA,Workforce,2015,0.0
L,Real estate activities,Al Bahah,ABA,Workforce,2015,0.0
M,"Professional, scientific and technical activities",Al Bahah,ABA,Workforce,2015,0.0
N,Administrative and support service activities,Al Bahah,ABA,Workforce,2015,0.0
O,Public administration and defense; compulsory social security,Al Bahah,ABA,Workforce,2015,0.0
P,Education,Al Bahah,ABA,Workforce,2015,0.0
Q,Human health and social work activities,Al Bahah,ABA,Workforce,2015,0.0
R,"Arts, entertainment and recreation",Al Bahah,ABA,Workforce,2015,0.0
S,Other service activities,Al Bahah,ABA,Workforce,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Bahah,ABA,Workforce,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Bahah,ABA,Workforce,2015,0.0
V,Undefined,Al Bahah,ABA,Workforce,2015,0.0
A,"Agriculture, forestry and fishing",Al Bahah,ABA,Investments,2015,7.7513371968009555
B,Mining and Quarrying,Al Bahah,ABA,Investments,2015,248.24562405190744
C,Manufacturing,Al Bahah,ABA,Investments,2015,1689.9889343807545
D,"Electricity, gas, steam and air conditioning supplies",Al Bahah,ABA,Investments,2015,184.86008695945077
E,"Water supply; sewerage, waste management and remediation activities",Al Bahah,ABA,Investments,2015,84.21225682579052
F,Construction,Al Bahah,ABA,Investments,2015,460.0959213586209
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Al Bahah,ABA,Investments,2015,907.5864116299404
H,Transportation and Storage,Al Bahah,ABA,Investments,2015,143.453402010957
I,Accommodation and food services activities,Al Bahah,ABA,Investments,2015,187.46223866152536
J,Information and Communication,Al Bahah,ABA,Investments,2015,248.67298999833264
K,Financial and Insurance Activities,Al Bahah,ABA,Investments,2015,934.4389434576904
L,Real Estate Activities,Al Bahah,ABA,Investments,2015,538.392906205018
M,"Professional, Scientific and Technical Activities",Al Bahah,ABA,Investments,2015,164.35465947243975
N,Administrative and Support Service Activities,Al Bahah,ABA,Investments,2015,229.0418968343535
O,"Public administration, defense and compulsory social security",Al Bahah,ABA,Investments,2015,0.20217785155577206
P,Education,Al Bahah,ABA,Investments,2015,3.638731266045506
Q,Human Health and Social Work Activities,Al Bahah,ABA,Investments,2015,25.048183108460144
R,"Arts, entertainment and recreation",Al Bahah,ABA,Investments,2015,3.4929512906488176
S,Other service activities,Al Bahah,ABA,Investments,2015,8.468199450443645
A,"Agriculture, forestry and fishing",Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
B,Mining and quarrying,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
C,Manufacturing,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
F,Construction,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
H,Transportation and storage,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
I,Accommodation and food service activities,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
J,Information and communication,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
K,Financial and insurance activities,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
L,Real estate activities,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
M,"Professional, scientific and technical activities",Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
N,Administrative and support service activities,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
O,Public administration and defense; compulsory social security,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
P,Education,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
Q,Human health and social work activities,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
R,"Arts, entertainment and recreation",Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
S,Other service activities,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
T,Activities of households,Al Hudud ash Shamaliyah,AHU,GDP,2015,0.0
A,"Agriculture, Forestry and Fishing",Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
B,Mining and quarrying,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
C,Manufacturing,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
F,Construction,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
H,Transportation and storage,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
I,Accommodation and food service activities,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
J,Information and Communication,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
K,Financial and insurance activities,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
L,Real estate activities,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
M,"Professional, scientific and technical activities",Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
N,Administrative and support service activities,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
O,Public administration and defense; compulsory social security,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
P,Education,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
Q,Human health and social work activities,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
R,"Arts, entertainment and recreation",Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
S,Other service activities,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
V,Undefined,Al Hudud ash Shamaliyah,AHU,Productivity,2015,0.0
A,"Agriculture, Forestry and Fishing",Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
B,Mining and quarrying,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
C,Manufacturing,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
F,Construction,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
H,Transportation and storage,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
I,Accommodation and food service activities,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
J,Information and Communication,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
K,Financial and insurance activities,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
L,Real estate activities,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
M,"Professional, scientific and technical activities",Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
N,Administrative and support service activities,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
O,Public administration and defense; compulsory social security,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
P,Education,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
Q,Human health and social work activities,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
R,"Arts, entertainment and recreation",Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
S,Other service activities,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
U,Activities of extraterritorial organizations and bodies,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
V,Undefined,Al Hudud ash Shamaliyah,AHU,Workforce,2015,0.0
A,"Agriculture, forestry and fishing",Al Hudud ash Shamaliyah,AHU,Investments,2015,7.607260297232165
B,Mining and Quarrying,Al Hudud ash Shamaliyah,AHU,Investments,2015,243.63139312157458
C,Manufacturing,Al Hudud ash Shamaliyah,AHU,Investments,2015,1658.5765006562053
D,"Electricity, gas, steam and air conditioning supplies",Al Hudud ash Shamaliyah,AHU,Investments,2015,181.42402586355018
E,"Water supply; sewerage, waste management and remediation activities",Al Hudud ash Shamaliyah,AHU,Investments,2015,82.64697324166802
F,Construction,Al Hudud ash Shamaliyah,AHU,Investments,2015,451.54395256013345
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Al Hudud ash Shamaliyah,AHU,Investments,2015,890.7167757260382
H,Transportation and Storage,Al Hudud ash Shamaliyah,AHU,Investments,2015,140.7869818992292
I,Accommodation and food services activities,Al Hudud ash Shamaliyah,AHU,Investments,2015,183.97781043361593
J,Information and Communication,Al Hudud ash Shamaliyah,AHU,Investments,2015,244.05081546304763
K,Financial and Insurance Activities,Al Hudud ash Shamaliyah,AHU,Investments,2015,917.0701898618225
L,Real Estate Activities,Al Hudud ash Shamaliyah,AHU,Investments,2015,528.3856031157054
M,"Professional, Scientific and Technical Activities",Al Hudud ash Shamaliyah,AHU,Investments,2015,161.2997401513907
N,Administrative and Support Service Activities,Al Hudud ash Shamaliyah,AHU,Investments,2015,224.78461250657745
O,"Public administration, defense and compulsory social security",Al Hudud ash Shamaliyah,AHU,Investments,2015,0.1984198989246239
P,Education,Al Hudud ash Shamaliyah,AHU,Investments,2015,3.571096855895961
Q,Human Health and Social Work Activities,Al Hudud ash Shamaliyah,AHU,Investments,2015,24.582603496778727
R,"Arts, entertainment and recreation",Al Hudud ash Shamaliyah,AHU,Investments,2015,3.4280265454694714
S,Other service activities,Al Hudud ash Shamaliyah,AHU,Investments,2015,8.3107979736696
A,"Agriculture, forestry and fishing",Al Jawf,AJA,GDP,2015,0.0
B,Mining and quarrying,Al Jawf,AJA,GDP,2015,0.0
C,Manufacturing,Al Jawf,AJA,GDP,2015,0.0
D,"Electricity, gas, steam and air conditioning supply",Al Jawf,AJA,GDP,2015,0.0
E,"Water supply; sewerage, waste management and remediation activities",Al Jawf,AJA,GDP,2015,0.0
F,Construction,Al Jawf,AJA,GDP,2015,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Al Jawf,AJA,GDP,2015,0.0
H,Transportation and storage,Al Jawf,AJA,GDP,2015,0.0
I,Accommodation and food service activities,Al Jawf,AJA,GDP,2015,0.0
J,Information and communication,Al Jawf,AJA,GDP,2015,0.0
K,Financial and insurance activities,Al Jawf,AJA,GDP,2015,0.0
L,Real estate activities,Al Jawf,AJA,GDP,2015,0.0
M,"Professional, scientific and technical activities",Al Jawf,AJA,GDP,2015,0.0
N,Administrative and support service activities,Al Jawf,AJA,GDP,2015,0.0
O,Public administration and defense; compulsory social security,Al Jawf,AJA,GDP,2015,0.0
P,Education,Al Jawf,AJA,GDP,2015,0.0
