year,regioncode,sector,gdp,step,row_type
2025,ABA,A,0.0,final_consolidated,detail
2025,ABA,ALL,392041386.792526,final_consolidated,region_total
2025,ABA,B,0.0,final_consolidated,detail
2025,ABA,C,0.0,final_consolidated,detail
2025,ABA,D,0.0,final_consolidated,detail
2025,ABA,E,0.0,final_consolidated,detail
2025,ABA,F,0.0,final_consolidated,detail
2025,ABA,G,0.0,final_consolidated,detail
2025,ABA,H,0.0,final_consolidated,detail
2025,ABA,I,0.0,final_consolidated,detail
2025,ABA,J,0.0,final_consolidated,detail
2025,ABA,K,0.0,final_consolidated,detail
2025,ABA,L,0.0,final_consolidated,detail
2025,ABA,M,0.0,final_consolidated,detail
2025,ABA,N,0.0,final_consolidated,detail
2025,ABA,O,0.0,final_consolidated,detail
2025,ABA,P,130693532.92453381,final_consolidated,detail
2025,ABA,Q,130654320.94345835,final_consolidated,detail
2025,ABA,R,114342136.81606379,final_consolidated,detail
2025,ABA,S,16351396.108470026,final_consolidated,detail
2025,ABA,T,0.0,final_consolidated,detail
2025,ABA,U,0.0,final_consolidated,detail
2025,ABA,V,0.0,final_consolidated,detail
2025,AHU,A,0.0,final_consolidated,detail
2025,AHU,ALL,6675766.785485955,final_consolidated,region_total
2025,AHU,B,0.0,final_consolidated,detail
2025,AHU,C,0.0,final_consolidated,detail
2025,AHU,D,0.0,final_consolidated,detail
2025,AHU,E,0.0,final_consolidated,detail
2025,AHU,F,0.0,final_consolidated,detail
2025,AHU,G,0.0,final_consolidated,detail
2025,AHU,H,0.0,final_consolidated,detail
2025,AHU,I,0.0,final_consolidated,detail
2025,AHU,J,0.0,final_consolidated,detail
2025,AHU,K,0.0,final_consolidated,detail
2025,AHU,L,0.0,final_consolidated,detail
2025,AHU,M,0.0,final_consolidated,detail
2025,AHU,N,0.0,final_consolidated,detail
2025,AHU,O,0.0,final_consolidated,detail
2025,AHU,P,2225478.1652355157,final_consolidated,detail
2025,AHU,Q,2224810.455014923,final_consolidated,detail
2025,AHU,R,1947043.0032483542,final_consolidated,detail
2025,AHU,S,278435.16198716173,final_consolidated,detail
2025,AHU,T,0.0,final_consolidated,detail
2025,AHU,U,0.0,final_consolidated,detail
2025,AHU,V,0.0,final_consolidated,detail
2025,AJA,A,0.0,final_consolidated,detail
2025,AJA,ALL,10864491.60601961,final_consolidated,region_total
2025,AJA,B,0.0,final_consolidated,detail
2025,AJA,C,0.0,final_consolidated,detail
2025,AJA,D,0.0,final_consolidated,detail
2025,AJA,E,0.0,final_consolidated,detail
2025,AJA,F,0.0,final_consolidated,detail
2025,AJA,G,0.0,final_consolidated,detail
2025,AJA,H,0.0,final_consolidated,detail
2025,AJA,I,0.0,final_consolidated,detail
2025,AJA,J,0.0,final_consolidated,detail
2025,AJA,K,0.0,final_consolidated,detail
2025,AJA,L,0.0,final_consolidated,detail
2025,AJA,M,0.0,final_consolidated,detail
2025,AJA,N,0.0,final_consolidated,detail
2025,AJA,O,0.0,final_consolidated,detail
2025,AJA,P,3621859.42417117,final_consolidated,detail
2025,AJA,Q,3620772.7576772696,final_consolidated,detail
2025,AJA,R,3168719.496214561,final_consolidated,detail
2025,AJA,S,453139.92795660906,final_consolidated,detail
2025,AJA,T,0.0,final_consolidated,detail
2025,AJA,U,0.0,final_consolidated,detail
2025,AJA,V,0.0,final_consolidated,detail
2025,ALL,A,0.0,final_consolidated,sector_total
2025,ALL,ALL,4341560161.077046,final_consolidated,grand_total
2025,ALL,B,0.0,final_consolidated,sector_total
2025,ALL,C,0.0,final_consolidated,sector_total
2025,ALL,D,0.0,final_consolidated,sector_total
2025,ALL,E,0.0,final_consolidated,sector_total
2025,ALL,F,0.0,final_consolidated,sector_total
2025,ALL,G,0.0,final_consolidated,sector_total
2025,ALL,H,0.0,final_consolidated,sector_total
2025,ALL,I,0.0,final_consolidated,sector_total
2025,ALL,J,0.0,final_consolidated,sector_total
2025,ALL,K,0.0,final_consolidated,sector_total
2025,ALL,L,0.0,final_consolidated,sector_total
2025,ALL,M,0.0,final_consolidated,sector_total
2025,ALL,N,0.0,final_consolidated,sector_total
2025,ALL,O,0.0,final_consolidated,sector_total
2025,ALL,P,1447331467.9805758,final_consolidated,sector_total
2025,ALL,Q,1446897225.1158953,final_consolidated,sector_total
2025,ALL,R,1266252193.4087486,final_consolidated,sector_total
2025,ALL,S,181079274.57182723,final_consolidated,sector_total
