year,region,sector,gdp,step,row_type
2020,ALL REGIONS,A,6539928904412.476,final_consolidated,sector_total
2020,ALL REGIONS,ALL SECTORS,13701322239219.104,final_consolidated,grand_total
2020,ALL REGIONS,B,4421128886962.807,final_consolidated,sector_total
2020,ALL REGIONS,C,2740264447843.8213,final_consolidated,sector_total
2020,Makkah Region,A,2796589936773.687,final_consolidated,detail
2020,Makkah Region,ALL SECTORS,6214644303941.526,final_consolidated,region_total
2020,Makkah Region,B,2175125506379.5342,final_consolidated,detail
2020,Makkah Region,C,1242928860788.3054,final_consolidated,detail
2020,Riyadh Region,A,3743338967638.7886,final_consolidated,detail
2020,Riyadh Region,ALL SECTORS,7486677935277.577,final_consolidated,region_total
2020,Riyadh Region,B,2246003380583.273,final_consolidated,detail
2020,Riyadh Region,C,1497335587055.5156,final_consolidated,detail
2021,ALL REGIONS,A,7302999011550.625,final_consolidated,sector_total
2021,ALL REGIONS,ALL SECTORS,14675971677603.627,final_consolidated,grand_total
2021,ALL REGIONS,B,4437778330532.277,final_consolidated,sector_total
2021,ALL REGIONS,C,2935194335520.7256,final_consolidated,sector_total
2021,Makkah Region,A,3087958851550.6553,final_consolidated,detail
2021,Makkah Region,ALL SECTORS,6570125216065.225,final_consolidated,region_total
2021,Makkah Region,B,2168141321301.5242,final_consolidated,detail
2021,Makkah Region,C,1314025043213.045,final_consolidated,detail
2021,Riyadh Region,A,4215040159999.969,final_consolidated,detail
2021,Riyadh Region,ALL SECTORS,8105846461538.402,final_consolidated,region_total
2021,Riyadh Region,B,2269637009230.753,final_consolidated,detail
2021,Riyadh Region,C,1621169292307.6807,final_consolidated,detail
