SectorCode,year,GDP_SAR_baseline,GDP_SAR_scenario,baseline_pct,scenario_pct,Δ_pct_pts
A,2025,112450929610.02745,112450929610.02745,2.89678273837257,2.916852418839128,0.02006968046655766
A,2026,114495098200.12329,114495098200.12329,2.8967827380873863,2.937494720291917,0.04071198220453054
A,2027,116575764931.87518,116575764931.87518,2.896782737929547,2.9587610489241216,0.061978310994574404
A,2028,118693581490.9307,118693581490.9307,2.8967827384146236,2.9807113910418606,0.08392865262723692
A,2029,120849211123.65501,120849211123.65501,2.89678273805681,3.00341640515456,0.10663366709775035
A,2030,123043329009.97389,123043329009.97389,2.8967827379559092,3.0269602098288697,0.13017747187296047
B,2025,1025330537118.1904,1002595174079.4138,26.41294128337198,26.006207052015323,-0.4067342313566549
B,2026,1043969320292.2566,997283748221.4879,26.412941284434606,25.586385715073344,-0.8265555693612612
B,2027,1062940894421.0084,991003087726.0994,26.4129412849879,25.152237577347304,-1.260703707640598
B,2028,1082251201359.4543,983659828776.306,26.412941284159526,24.70231346728597,-1.7106278168735578
B,2029,1101906289265.8408,975145822473.9138,26.41294128461814,24.234903425553366,-2.178037859064773
B,2030,1121912313927.77,965334492532.6901,26.41294128365704,23.747968472430856,-2.6649728112261855
C,2025,629388258376.9523,626241317085.0676,16.21330342864638,16.24400533504967,0.030701906403290735
C,2026,640829477409.482,634421182635.3872,16.21330342869953,16.276756854476385,0.06345342577685642
C,2027,652474976635.7422,642687851986.206,16.21330342849503,16.31179331471456,0.0984898862195287
C,2028,664328403446.2523,651041835377.3273,16.213303428616257,16.349391351901172,0.13608792328491504
C,2029,676393470330.7333,659483633572.465,16.21330342805095,16.389879136039944,0.17657570798899513
C,2030,688673956079.7047,668013737397.3136,16.213303428175166,16.433649991352496,0.2203465631773298
D,2025,42670379090.93423,42670379090.93423,1.099206720825631,1.1068223170391243,0.00761559621349317
D,2026,43446054745.74563,43446054745.74563,1.0992067206711211,1.1146551986887063,0.015448478017585199
D,2027,44235579909.35077,44235579909.35077,1.099206720698712,1.1227248724367618,0.02351815173804983
D,2028,45039201854.15411,45039201854.15411,1.0992067207362395,1.1310541001778494,0.03184737944160987
D,2029,45857172274.46393,45857172274.46393,1.0992067207194427,1.1396696943449462,0.04046297362550355
D,2030,46689747358.66614,46689747358.66614,1.099206720724723,1.1486035740319487,0.04939685330722576
E,2025,10809747921.38598,10809747921.38598,0.2784636044666135,0.28039287430420945,0.0019292698375959483
E,2026,11006250941.493275,11006250941.493275,0.2784636044649589,0.2823771894088791,0.003913584943920245
E,2027,11206262475.927612,11206262475.927612,0.2784636044716929,0.2844214913551781,0.005957886883485197
E,2028,11409845167.218178,11409845167.218178,0.27846360446126234,0.28653154646403345,0.008067942002771111
E,2029,11617062778.589031,11617062778.589031,0.2784636044459203,0.2887141471964079,0.010250542750487646
E,2030,11827980211.726423,11827980211.726423,0.27846360447087565,0.29097737968904397,0.012513775218168322
F,2025,233120779606.9585,232537977657.9411,6.005288285862032,6.031777282373318,0.026488996511285556
F,2026,237358522939.2061,236171730324.51004,6.00528828567327,6.059239406894606,0.05395112122133572
F,2027,241671930151.57043,239859390675.4337,6.005288285384991,6.087771525787329,0.0824832404023379
F,2028,246062352247.2839,243601728724.81107,6.005288286107489,6.117487049988586,0.11219876388109729
F,2029,250531164235.5098,247399524682.56592,6.005288285747404,6.148519995705754,0.14323170995835
F,2030,255079765794.59012,251253569307.67123,6.005288285850172,6.18103039791903,0.17574211206885781
G,2025,342483144152.13116,342483144152.13116,8.82250830299042,8.883632984592893,0.06112468160247353
G,2026,348708911182.1374,348708911182.1374,8.822508303054807,8.946501654820787,0.12399335176598036
G,2027,355045837785.459,355045837785.459,8.822508303262548,9.011270876379317,0.1887625731167688
G,2028,361495908652.5338,361495908652.5338,8.82250830279465,9.078123342482236,0.25561503968758537
G,2029,368061144013.5714,368061144013.5714,8.822508302822165,9.147274258159692,0.3247659553375275
G,2030,374743600072.29285,374743600072.29285,8.82250830324069,9.21897981332173,0.39647151008104053
H,2025,97938792627.54904,97693945645.98018,2.5229440511022343,2.5340726186224902,0.011128567520255928
H,2026,99719155007.4399,99220559232.40271,2.5229440510834134,2.545610017121943,0.02266596603852955
H,2027,101531305326.4406,100769820536.4923,2.5229440510294965,2.5575969420803992,0.034652891050902745
H,2028,103375811154.75836,102342053043.21075,2.522944051069815,2.5700810394015914,0.047136988331776486
H,2029,105253250197.22371,103937584569.75842,2.522944051192171,2.583118612909573,0.06017456171740232
H,2030,107164210455.62505,105556747298.79066,2.5229440512729076,2.5967768957754744,0.07383284450256689
I,2025,68234522045.07331,68234522045.07331,1.757749680742926,1.76992783755303,0.012178156810104035
I,2026,69474910789.4612,69474910789.4612,1.757749680718258,1.7824534573531154,0.024703776634857455
I,2027,70737446374.31996,70737446374.31996,1.7577496806655613,1.7953577328444308,0.03760805217886953
I,2028,72022524227.97171,72022524227.97171,1.7577496806478876,1.808677063083711,0.0509273824358234
I,2029,73330546842.00882,73330546842.00882,1.757749680689623,1.8224543241650835,0.06470464347546057
I,2030,74661923879.63744,74661923879.63744,1.7577496806802115,1.8367405579104168,0.07899087723020526
J,2025,120483526644.9798,120483526644.9798,3.1037057804127475,3.125209078692578,0.021503298279830663
J,2026,122673714334.71768,122673714334.71768,3.103705780318643,3.147325901646713,0.04362012132807003
J,2027,124903007308.45108,124903007308.45108,3.1037057805114863,3.170111327458955,0.0664055469474687
J,2028,127172103760.12654,127172103760.12654,3.1037057804878563,3.1936296262955937,0.08992384580773738
J,2029,129481714393.83015,129481714393.83015,3.103705780638157,3.2179565059804185,0.11425072534226155
J,2030,131832562546.75444,131832562546.75444,3.103705780383876,3.2431820920291767,0.13947631164530083
K,2025,156759559941.54114,156759559941.54114,4.038191492843327,4.066169156425259,0.027977663581931544
K,2026,159609184851.77563,159609184851.77563,4.038191492798113,4.0949450691128595,0.056753576314746645
K,2027,162509689134.2267,162509689134.2267,4.038191492935311,4.124590892147305,0.08639939921199424
K,2028,165461981219.09628,165461981219.09628,4.038191493075692,4.155190247096886,0.11699875402119453
K,2029,168466985770.5594,168466985770.5594,4.038191493143269,4.186841635834213,0.14865014269094434
K,2030,171525643947.94165,171525643947.94165,4.038191493216933,4.219662320365267,0.18147082714833385
L,2025,238843687197.64917,238843687197.64917,6.1527127667400965,6.195340395521244,0.042627628781147564
L,2026,243185463358.19998,243185463358.19998,6.152712766606962,6.239184261127493,0.08647149452053071
L,2027,247604760872.13333,247604760872.13333,6.15271276618019,6.284353548310491,0.13164078213030095
L,2028,252102963894.39868,252102963894.39868,6.152712766260743,6.330975666555875,0.17826290029513192
L,2029,256681481255.2057,256681481255.2057,6.152712766309402,6.3792006959187955,0.22648792960939357
L,2030,261341746929.9491,261341746929.9491,6.152712766350396,6.429207300299864,0.2764945339494682
M,2025,27608285181.353317,27608285181.353317,0.7112009142722105,0.716128303167446,0.004927388895235474
M,2026,28110157329.89258,28110157329.89258,0.7112009142594521,0.7211962786285087,0.00999536436905657
M,2027,28620990287.932087,28620990287.932087,0.7112009143322484,0.7264174615972375,0.015216547264989111
M,2028,29140944040.6472,29140944040.6472,0.7112009143013635,0.7318065792319824,0.020605664930618994
M,2029,29670181444.41402,29670181444.41402,0.7112009142968126,0.7373809796977874,0.026180065400974728
M,2030,30208868253.04902,30208868253.04902,0.7112009142854323,0.7431613149749039,0.03196040068947159
N,2025,41294728210.42405,41294728210.42405,1.0637693817257365,1.0711394586384901,0.007370076912753598
N,2026,42045396851.8755,42045396851.8755,1.0637693816696123,1.0787198160141818,0.014950434344569441
N,2027,42809468504.20528,42809468504.20528,1.0637693817011589,1.0865293314558662,0.022759949754707298
N,2028,43587182473.124016,43587182473.124016,1.0637693817834768,1.0945900331686262,0.030820651385149445
N,2029,44378782328.55582,44378782328.55582,1.0637693816122693,1.1029278689290347,0.03915848731676541
N,2030,45184516019.732185,45184516019.732185,1.0637693817455356,1.1115737292918801,0.04780434754634455
O,2025,346415577800.8537,346415577800.8537,8.923809430094655,8.985635952820715,0.06182652272605971
O,2026,352712829841.3932,352712829841.3932,8.923809429820649,9.049226488520521,0.12541705869987219
O,2027,359122517804.18164,359122517804.18164,8.923809429729094,9.114739397948725,0.19092996821963126
O,2028,365646649211.1752,365646649211.1752,8.923809430040764,9.182359473105247,0.25855004306448315
O,2029,372287267411.4209,372287267411.4209,8.923809430019944,9.252304388065308,0.3284949580453649
O,2030,379046452247.2302,379046452247.2302,8.923809430287768,9.324833275082796,0.4010238447950272
P,2025,215545541109.7423,215545541109.7423,5.5525428289940875,5.591012320985534,0.03846949199144678
P,2026,219463796205.48593,219463796205.48593,5.552542829143538,5.630579411548485,0.07803658240494737
P,2027,223452010798.8317,223452010798.8317,5.552542829257594,5.6713426349097045,0.11879980565211046
P,2028,227511433979.77567,227511433979.77567,5.552542828905454,5.713416971140957,0.16087414223550223
P,2029,231643337220.70746,231643337220.70746,5.552542829263635,5.756937862354339,0.2043950330907034
P,2030,235849014567.88477,235849014567.88477,5.5525428291100605,5.802066543294415,0.24952371418435426
Q,2025,136407557472.61427,136407557472.61427,3.513915440633207,3.5382607804289115,0.0243453397957043
Q,2026,138887217239.6488,138887217239.6488,3.5139154406207957,3.563300733140605,0.049385292519809276
Q,2027,141411150731.5156,141411150731.5156,3.513915440565134,3.5890976560389953,0.07518221547386128
Q,2028,143980148436.27707,143980148436.27707,3.5139154402923753,3.6157243141298343,0.10180887383745896
Q,2029,146595015005.1426,146595015005.1426,3.513915440602776,3.64326642173788,0.1293509811351039
Q,2030,149256569373.29877,149256569373.29877,3.5139154407309894,3.6718260159550407,0.15791057522405128
R,2025,8922280224.905647,8922280224.905647,0.22984165121677116,0.23143405524373595,0.0015924040269647832
R,2026,9084472259.745777,9084472259.745777,0.22984165121784178,0.23307189320016555,0.0032302419823237727
R,2027,9249560193.70756,9249560193.70756,0.2298416512062371,0.23475924380006352,0.004917592593826431
R,2028,9417595734.03888,9417595734.03888,0.22984165122539105,0.23650086658495362,0.00665921535956257
R,2029,9588631507.309465,9588631507.309465,0.22984165120896513,0.23830236792003434,0.00846071671106921
R,2030,9762721084.202425,9762721084.202425,0.22984165122762057,0.24017042207255845,0.010328770844937885
S,2025,27217037712.9907,27217037712.9907,0.7011222166863816,0.7059797776869023,0.004857561000520705
S,2026,27711797640.522858,27711797640.522858,0.7011222166570528,0.7109759329307797,0.009853716273726887
S,2027,28215391388.2517,28215391388.2517,0.7011222166560722,0.7161231244632534,0.015000907807181219
S,2028,28727976679.028,28727976679.028,0.7011222166191426,0.7214358708630474,0.020313654243904744
S,2029,29249714056.78907,29249714056.78907,0.7011222165621497,0.7269312743328671,0.025809057770717403
S,2030,29780766933.986813,29780766933.986813,0.7011222166336886,0.7326296943742332,0.03150747774054463
T,2025,0.0,0.0,0.0,0.0,0.0
T,2026,0.0,0.0,0.0,0.0,0.0
T,2027,0.0,0.0,0.0,0.0,0.0
T,2028,0.0,0.0,0.0,0.0,0.0
T,2029,0.0,0.0,0.0,0.0,0.0
T,2030,0.0,0.0,0.0,0.0,0.0
U,2025,0.0,0.0,0.0,0.0,0.0
U,2026,0.0,0.0,0.0,0.0,0.0
U,2027,0.0,0.0,0.0,0.0,0.0
U,2028,0.0,0.0,0.0,0.0,0.0
U,2029,0.0,0.0,0.0,0.0,0.0
U,2030,0.0,0.0,0.0,0.0,0.0
V,2025,0.0,0.0,0.0,0.0,0.0
V,2026,0.0,0.0,0.0,0.0,0.0
V,2027,0.0,0.0,0.0,0.0,0.0
V,2028,0.0,0.0,0.0,0.0,0.0
V,2029,0.0,0.0,0.0,0.0,0.0
V,2030,0.0,0.0,0.0,0.0,0.0
